Cód_IBGE;Município;Sigla UF;Região;Mês/Ano;Vítimas
3509908;Cananéia;SP;SUDESTE;jan/18;0
3509957;Canas;SP;SUDESTE;jan/18;1
3510005;Cândido Mota;SP;SUDESTE;jan/18;0
3510104;Cândido Rodrigues;SP;SUDESTE;jan/18;0
3510153;Canitar;SP;SUDESTE;jan/18;0
3510203;Capão Bonito;SP;SUDESTE;jan/18;1
3510302;Capela Do Alto;SP;SUDESTE;jan/18;0
3510401;Capivari;SP;SUDESTE;jan/18;0
3510500;Caraguatatuba;SP;SUDESTE;jan/18;2
3510609;Carapicuíba;SP;SUDESTE;jan/18;5
3510708;Cardoso;SP;SUDESTE;jan/18;0
3510807;Casa Branca;SP;SUDESTE;jan/18;0
3510906;Cássia Dos Coqueiros;SP;SUDESTE;jan/18;0
3511003;Castilho;SP;SUDESTE;jan/18;0
3511102;Catanduva;SP;SUDESTE;jan/18;0
3511201;Catiguá;SP;SUDESTE;jan/18;0
3511300;Cedral;SP;SUDESTE;jan/18;0
3511409;Cerqueira César;SP;SUDESTE;jan/18;0
3511508;Cerquilho;SP;SUDESTE;jan/18;0
3511607;Cesário Lange;SP;SUDESTE;jan/18;0
3511706;Charqueada;SP;SUDESTE;jan/18;0
3511904;Clementina;SP;SUDESTE;jan/18;0
3512001;Colina;SP;SUDESTE;jan/18;0
3512100;Colômbia;SP;SUDESTE;jan/18;0
3512209;Conchal;SP;SUDESTE;jan/18;0
3512308;Conchas;SP;SUDESTE;jan/18;0
3512407;Cordeirópolis;SP;SUDESTE;jan/18;0
3512506;Coroados;SP;SUDESTE;jan/18;0
3512605;Coronel Macedo;SP;SUDESTE;jan/18;0
3512704;Corumbataí;SP;SUDESTE;jan/18;0
3512803;Cosmópolis;SP;SUDESTE;jan/18;2
3512902;Cosmorama;SP;SUDESTE;jan/18;0
3513009;Cotia;SP;SUDESTE;jan/18;1
3513108;Cravinhos;SP;SUDESTE;jan/18;0
3513207;Cristais Paulista;SP;SUDESTE;jan/18;1
3513306;Cruzália;SP;SUDESTE;jan/18;0
3513405;Cruzeiro;SP;SUDESTE;jan/18;2
3513504;Cubatão;SP;SUDESTE;jan/18;1
3513603;Cunha;SP;SUDESTE;jan/18;0
3513702;Descalvado;SP;SUDESTE;jan/18;0
3513801;Diadema;SP;SUDESTE;jan/18;3
3513850;Dirce Reis;SP;SUDESTE;jan/18;0
3513900;Divinolândia;SP;SUDESTE;jan/18;0
3514007;Dobrada;SP;SUDESTE;jan/18;0
3514106;Dois Córregos;SP;SUDESTE;jan/18;0
3514205;Dolcinópolis;SP;SUDESTE;jan/18;0
3514304;Dourado;SP;SUDESTE;jan/18;0
3514403;Dracena;SP;SUDESTE;jan/18;0
3514502;Duartina;SP;SUDESTE;jan/18;0
3514601;Dumont;SP;SUDESTE;jan/18;0
3514700;Echaporã;SP;SUDESTE;jan/18;0
